timestamp,reporting_user,platform,url,report_type,screenshot_url,answer_date,platform_decision,policy,appeal
23/01/01 3:20,caroline.hendricks@vost.com,LinkedIn,https://linkedin.com/4941c470-9ee9-40b4-94ac-860888e50830,Illegal Content,https://www.google.com/01,23/01/25 3:20,Demoted,Policy Y,No
23/01/01 3:21,tiffany.flores@vost.com,Facebook,https://facebook.com/4334c3f8-946f-4c78-963c-fc7cafb2c553,DSA,https://www.google.com/02,23/01/12 3:21,No Action,Policy Y,Yes
23/01/01 6:13,emma.perkins@vost.com,Facebook,https://facebook.com/12524e2e-dce2-4a12-a130-110ae8347ec3,Platform Manipulation,https://www.google.com/03,23/01/02 6:13,No Action,Policy Y,No
23/01/01 7:04,joseph.gutierrez@vost.com,YouTube,https://youtube.com/5e201b72-3f23-459d-b441-aea2634cdde0,Disinformation,https://www.google.com/04,23/01/08 7:04,Demoted,Policy Y,No
23/01/01 19:06,vicki.ray@vost.com,Instagram,https://instagram.com/863d5de8-e09c-487e-8531-e09cbb2cd583,Disinformation,https://www.google.com/05,23/01/04 19:06,No Action,Policy X,Yes
23/01/02 5:39,nichole.meza@vost.com,Instagram,https://instagram.com/6f847819-9adb-4c28-8398-a58daaf293a9,Platform Manipulation,https://www.google.com/06,23/01/31 5:39,Removed,Policy W,No
23/01/02 11:46,andrew.stevenson@vost.com,WhatsApp,https://whatsapp.com/2e686b18-7a42-4ead-b352-d0bb13202526,Spam,https://www.google.com/07,23/01/27 11:46,No Action,Policy Z,No
23/01/02 13:41,marcus.smith@vost.com,Bing,https://bing.com/9947d7ad-d4b8-43c4-95c0-0ca2aaa9ae00,Disinformation,https://www.google.com/08,23/01/25 13:41,No Action,Policy Y,Yes
23/01/02 15:56,jeremy.hines@vost.com,Google,https://google.com/f5349ac3-1663-4d41-9866-e7d60e761e16,Illegal Content,https://www.google.com/09,23/01/09 15:56,Demoted,Policy X,No
23/01/02 22:07,richard.pham@vost.com,LinkedIn,https://linkedin.com/76e7b415-5be0-4848-a247-bd110cf770d9,Illegal Content,https://www.google.com/10,23/02/01 22:07,Demoted,Policy Y,No
